DATE,CE16OV
2014-07-01,146399
2014-08-01,146530
2014-09-01,146778
2014-10-01,147427
2014-11-01,147404
2014-12-01,147615
2015-01-01,148145
2015-02-01,148045
2015-03-01,148128
2015-04-01,148511
2015-05-01,148817
2015-06-01,148816
2015-07-01,148830
2015-08-01,149181
2015-09-01,148826
2015-10-01,149246
2015-11-01,149463
2015-12-01,150128
2016-01-01,150621
2016-02-01,150908
2016-03-01,151157
2016-04-01,151006
2016-05-01,151119
2016-06-01,151187
2016-07-01,151465
2016-08-01,151770
2016-09-01,151850
2016-10-01,151907
2016-11-01,152063
2016-12-01,152216
2017-01-01,152129
2017-02-01,152368
2017-03-01,152978
2017-04-01,153224
2017-05-01,153001
2017-06-01,153299
2017-07-01,153471
2017-08-01,153593
2017-09-01,154371
2017-10-01,153779
2017-11-01,153813
2017-12-01,153977
2018-01-01,154486
2018-02-01,155142
2018-03-01,155191
2018-04-01,155324
2018-05-01,155665
2018-06-01,155750
2018-07-01,155993
2018-08-01,155601
2018-09-01,156032
2018-10-01,156482
2018-11-01,156628
2018-12-01,156825
2019-01-01,156627
2019-02-01,156866
2019-03-01,156741
2019-04-01,156696
2019-05-01,156844
2019-06-01,157148
2019-07-01,157346
2019-08-01,157895
2019-09-01,158298
2019-10-01,158544
2019-11-01,158536
2019-12-01,158803
